id,lock_version,json_schema_version,accession_id,deaccession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,portion_id,"number",extent_type_id,"container_summary","physical_details","dimensions","created_by","last_modified_by","create_time","system_mtime","user_mtime"
424,0,1,NULL,NULL,20168,NULL,NULL,NULL,923,"10",284,"in 2 boxes","scrapbooks","really big scrapbooks","buschedw","buschedw","2016-06-27 13:32:00","2016-06-27 13:32:00","2016-06-27 13:32:00"
426,0,1,NULL,NULL,NULL,35,NULL,NULL,923,"525.0",1372,"525.0 linear feet (approx. 525 records cartons; some flat boxes, possibly)",NULL,NULL,"admin","admin","2016-06-27 13:39:43","2016-06-27 13:39:43","2016-06-27 13:39:43"
427,0,1,NULL,NULL,NULL,119,NULL,NULL,923,"3",2574,"another extent statement","physfacet","dimensions","buschedw","buschedw","2016-06-27 13:52:10","2016-06-27 13:52:10","2016-06-27 13:52:10"
431,0,1,NULL,NULL,NULL,120,NULL,NULL,923,"7.5",2265,"another extent statement","physfacet","dimensions","buschedw","buschedw","2016-06-27 16:29:03","2016-06-27 16:29:03","2016-06-27 16:29:03"
434,0,1,NULL,NULL,20391,NULL,NULL,NULL,923,"1",2679,NULL,NULL,"8 x 10 inches","admin","admin","2016-06-27 17:34:16","2016-06-27 17:34:16","2016-06-27 17:34:16"
435,0,1,NULL,NULL,20392,NULL,NULL,NULL,923,"1",2679,NULL,"gelatin silver",NULL,"admin","admin","2016-06-27 17:34:16","2016-06-27 17:34:16","2016-06-27 17:34:16"
436,0,1,NULL,NULL,20393,NULL,NULL,NULL,923,"1",2679,NULL,"gelatin silver","8 x 10 inches","admin","admin","2016-06-27 17:34:16","2016-06-27 17:34:16","2016-06-27 17:34:16"
437,0,1,NULL,NULL,20394,NULL,NULL,NULL,923,"1",2679,NULL,"black and white; gelatin silver",NULL,"admin","admin","2016-06-27 17:34:16","2016-06-27 17:34:16","2016-06-27 17:34:16"
438,0,1,NULL,NULL,20395,NULL,NULL,NULL,923,"1",2679,NULL,NULL,"8 x 10 inches (photograph); 11 x 14 inches (support)","admin","admin","2016-06-27 17:34:16","2016-06-27 17:34:16","2016-06-27 17:34:16"
439,0,1,NULL,NULL,NULL,101,NULL,NULL,923,"2",1372,NULL,NULL,NULL,"admin","admin","2016-06-27 17:51:48","2017-04-07 15:20:37","2016-06-27 17:51:48"
445,0,1,NULL,NULL,11903,NULL,NULL,NULL,923,"10",284,"in 2 boxes","scrapbooks","really big scrapbooks","admin","admin","2016-06-28 14:41:08","2016-06-28 14:41:08","2016-06-28 14:41:08"
446,0,1,NULL,NULL,20028,NULL,NULL,NULL,923,"16.63",274,"(1 container)",NULL,NULL,"buschedw","buschedw","2016-06-28 16:51:16","2016-06-28 16:51:16","2016-06-28 16:51:16"
467,0,1,NULL,NULL,NULL,122,NULL,NULL,923,"15",1372,NULL,NULL,NULL,"admin","admin","2016-06-29 19:22:35","2017-04-07 15:20:37","2016-06-29 19:22:35"
470,0,1,NULL,NULL,NULL,126,NULL,NULL,923,".5",1372,NULL,NULL,NULL,"admin","admin","2016-06-30 13:02:00","2017-04-07 15:20:37","2016-06-30 13:02:00"
472,0,1,20,NULL,NULL,NULL,NULL,NULL,923,"5",1372,"5 boxes",NULL,NULL,"admin","admin","2016-06-30 15:30:35","2017-04-07 15:20:37","2016-06-30 15:30:35"
475,0,1,NULL,NULL,NULL,127,NULL,NULL,923,"1",274,NULL,NULL,NULL,"admin","admin","2016-07-02 23:13:55","2016-07-02 23:13:55","2016-07-02 23:13:55"
476,0,1,NULL,NULL,NULL,128,NULL,NULL,923,"1",2015,NULL,NULL,NULL,"admin","admin","2016-07-03 00:04:47","2016-07-03 00:04:47","2016-07-03 00:04:47"
477,0,1,NULL,NULL,NULL,128,NULL,NULL,923,"3",2574,"another extent statement","physfacet","dimensions","admin","admin","2016-07-03 00:04:47","2016-07-03 00:04:47","2016-07-03 00:04:47"
479,0,1,NULL,NULL,NULL,130,NULL,NULL,923,"100.0",2136,NULL,NULL,NULL,"buschedw","buschedw","2016-07-03 23:35:21","2016-07-03 23:35:21","2016-07-03 23:35:21"
481,0,1,NULL,NULL,NULL,132,NULL,NULL,923,"1",274,NULL,NULL,NULL,"buschedw","buschedw","2016-07-03 23:40:38","2016-07-03 23:40:38","2016-07-03 23:40:38"
489,0,1,NULL,NULL,NULL,28,NULL,NULL,923,"1",283,NULL,NULL,NULL,"admin","admin","2016-07-05 13:33:55","2016-07-05 13:33:55","2016-07-05 13:33:55"
495,0,1,NULL,NULL,NULL,51,NULL,NULL,923,"36.7",2136,"(45 archives boxes, 21 card file boxes, 12 records cartons, 17 oversize folders)",NULL,NULL,"admin","admin","2016-07-05 15:54:19","2016-07-05 15:54:19","2016-07-05 15:54:19"
497,0,1,NULL,NULL,NULL,133,NULL,NULL,923,"2",1372,NULL,NULL,NULL,"admin","admin","2016-07-05 18:01:26","2017-04-07 15:20:37","2016-07-05 18:01:26"
498,0,1,NULL,NULL,NULL,134,NULL,NULL,923,"4",1372,NULL,NULL,NULL,"admin","admin","2016-07-05 18:31:35","2017-04-07 15:20:37","2016-07-05 18:31:35"
501,0,1,NULL,NULL,20473,NULL,NULL,NULL,923,"8",1372,NULL,NULL,NULL,"admin","admin","2016-07-05 19:34:20","2017-04-07 15:20:37","2016-07-05 19:34:20"
